"agefr","3 P_mean","15 P_mean","50 P_mean","85 P_mean","97 P_mean"
20,-2.54440778843582,-2.46119097312226,-2.34870647819753,-2.20663420254184,-2.04039465189122
30,-2.59269449418478,-2.50294215589102,-2.37772163681152,-2.20671825651342,-1.9948822950228
40,-2.64313436309782,-2.54728652043428,-2.41043695462205,-2.21344601905148,-1.96288051069061
50,-2.69908309610344,-2.59919124640053,-2.45708834076772,-2.25417638664087,-1.99700450764805
60,-2.75956361673082,-2.65722394667832,-2.51484068379387,-2.32170075480617,-2.08330038368989
70,-2.82106065233708,-2.7162608822222,-2.57354693946653,-2.38991939713985,-2.17143603703541
80,-2.87898525646747,-2.77111520875716,-2.62619379040626,-2.44600054145267,-2.23813909832637
