"agefr","3 P_mean","15 P_mean","50 P_mean","85 P_mean","97 P_mean"
20,26.3710725943648,33.6093880163022,45.569753787303,61.8656457100019,79.0658308569689
30,27.1466259143009,34.6581146082253,47.0995096058899,64.0916131266537,82.0600345480141
40,27.6303921937808,35.2731271065337,47.9306396283946,65.2161714764414,83.4934641879259
50,27.2838838979701,34.6618380265863,46.8002942245128,63.2669863869128,80.5890193222173
60,25.6851177263977,32.2466452886329,42.8711865218225,57.0546343403305,71.7898261406421
70,22.9862984066095,28.3443405627558,36.8153165063659,47.8542681939778,59.1075333174197
80,20.2576065075263,24.5314138677301,31.1293706769942,39.5226917900165,47.9166073522635
