"agefr","3 P_mean","15 P_mean","50 P_mean","85 P_mean","97 P_mean"
20,-2.59864708251695,-2.45532545967079,-2.27940135515722,-2.10347725064365,-1.96015562779749
30,-2.6060347686647,-2.45973892738229,-2.28016403588601,-2.10058914438974,-1.95429330310732
40,-2.62202115588168,-2.47268811241698,-2.28938512279054,-2.10608213316411,-1.95674908969941
50,-2.66177627530681,-2.50934351057762,-2.32223568203807,-2.13512785349852,-1.98269508876933
60,-2.7343068949872,-2.57871288475123,-2.38772469765946,-2.19673651056769,-2.04114250033172
70,-2.83292536008231,-2.67410836583837,-2.47916403755726,-2.28421970927616,-2.12540271503221
80,-2.93547954201248,-2.77352555024105,-2.57473062726304,-2.37593570428503,-2.21398171251361
