"agefr","3 P_mean","15 P_mean","50 P_mean","85 P_mean","97 P_mean"
20,30.5349864404728,36.7510134669116,46.1368912355646,57.9201202627168,69.7117367925169
30,30.0181138660315,36.3585663531327,46.0006126765848,58.1999681018631,70.4938596852117
40,29.0597498202926,35.4287918624113,45.1856738226837,57.6298650022287,70.2615330464124
50,27.4243322722335,33.6617584984901,43.2897991760546,55.6720132799012,68.3350618445831
60,25.4179730337083,31.4180692065017,40.7527859869252,52.8613045391903,65.3405499325975
70,23.4416505890266,29.1856138591883,38.1947464894551,49.9851938740404,62.2341537198809
80,21.7491181199572,27.2724948077643,36.005404204941,47.5349582322149,59.6076912520357
